model,placement_id,revenue,payments
first_touch,c01_p01_cr1,49385.0,8.0
first_touch,c01_p01_cr2,47270.0,6.0
first_touch,c02_p01_cr2,14450.0,2.0
first_touch,c03_p01_cr1,37820.0,5.0
first_touch,c04_p01_cr1,13965.0,2.0
first_touch,c05_p01_cr1,18460.0,3.0
first_touch,c05_p01_cr2,48820.0,7.0
first_touch,c06_p01_cr1,6490.0,1.0
first_touch,c07_p01_cr1,18940.0,3.0
first_touch,c08_p01_cr1,11485.0,2.0
last_touch,c01_p01_cr1,33945.0,6.0
last_touch,c01_p01_cr2,47270.0,6.0
last_touch,c02_p01_cr2,20940.0,3.0
last_touch,c03_p01_cr1,28870.0,4.0
last_touch,c04_p01_cr1,20455.0,3.0
last_touch,c05_p01_cr1,16965.0,3.0
last_touch,c05_p01_cr2,43825.0,6.0
last_touch,c06_p01_cr1,15440.0,2.0
last_touch,c07_p01_cr1,27890.0,4.0
last_touch,c08_p01_cr1,11485.0,2.0
linear,c01_p01_cr1,41665.0,7.0
linear,c01_p01_cr2,47270.0,6.0
linear,c02_p01_cr2,17695.0,2.5
linear,c03_p01_cr1,33345.0,4.5
linear,c04_p01_cr1,17210.0,2.5
linear,c05_p01_cr1,17712.5,3.0
linear,c05_p01_cr2,46322.5,6.5
linear,c06_p01_cr1,10965.0,1.5
linear,c07_p01_cr1,23415.0,3.5
linear,c08_p01_cr1,11485.0,2.0
position_based,c01_p01_cr1,41665.0,7.0
position_based,c01_p01_cr2,47270.0,6.0
position_based,c02_p01_cr2,17695.0,2.5
position_based,c03_p01_cr1,33345.0,4.5
position_based,c04_p01_cr1,17210.0,2.5
position_based,c05_p01_cr1,17712.5,3.0
position_based,c05_p01_cr2,46322.5,6.5
position_based,c06_p01_cr1,10965.0,1.5
position_based,c07_p01_cr1,23415.0,3.5
position_based,c08_p01_cr1,11485.0,2.0
time_decay,c01_p01_cr1,41062.7930699825,6.925915625686223
time_decay,c01_p01_cr2,47270.0,6.0
time_decay,c02_p01_cr2,17855.53046682494,2.5247350488174023
time_decay,c03_p01_cr1,33123.62131308425,4.475264951182598
time_decay,c04_p01_cr1,17530.277122471474,2.549349325496375
time_decay,c05_p01_cr1,17515.77444637145,2.9753857233210272
time_decay,c05_p01_cr2,46198.94843115708,6.475264951182598
time_decay,c06_p01_cr1,11406.676463192558,1.5493493254963753
time_decay,c07_p01_cr1,23636.378686915752,3.5247350488174023
time_decay,c08_p01_cr1,11485.0,2.0
