placement_id,first_touch,last_touch,linear,position_based,time_decay,min,max,spread_pct
c01_p01_cr1,49385.0,33945.0,41665.0,41665.0,41062.7930699825,33945.0,49385.0,31.264554014376834
c05_p01_cr2,48820.0,43825.0,46322.5,46322.5,46198.94843115708,43825.0,48820.0,10.231462515362557
c01_p01_cr2,47270.0,47270.0,47270.0,47270.0,47270.0,47270.0,47270.0,0.0
c03_p01_cr1,37820.0,28870.0,33345.0,33345.0,33123.62131308425,28870.0,37820.0,23.664727657324168
c07_p01_cr1,18940.0,27890.0,23415.0,23415.0,23636.378686915752,18940.0,27890.0,32.090354965937614
c02_p01_cr2,14450.0,20940.0,17695.0,17695.0,17855.53046682494,14450.0,20940.0,30.99331423113658
c04_p01_cr1,13965.0,20455.0,17210.0,17210.0,17530.277122471474,13965.0,20455.0,31.728183818137374
c05_p01_cr1,18460.0,16965.0,17712.5,17712.5,17515.77444637145,16965.0,18460.0,8.098591549295776
c06_p01_cr1,6490.0,15440.0,10965.0,10965.0,11406.676463192558,6490.0,15440.0,57.96632124352331
c08_p01_cr1,11485.0,11485.0,11485.0,11485.0,11485.0,11485.0,11485.0,0.0
