placement_id,channel,bucket,amount,reason
c01_p01_cr1,Физтех лайф,проверенные (70%),64755,ROMI +2.21 при last_touch
c01_p01_cr2,Физтех лайф,проверенные (70%),101698,ROMI +3.46 при last_touch
c05_p01_cr2,Стажировки РФ,проверенные (70%),43546,ROMI +1.48 при last_touch
c02_p01_cr2,ИТМО мемы,тесты (20%),8571,данных недостаточно для решения
c04_p01_cr1,Матан выживание,тесты (20%),8571,данных недостаточно для решения
c06_p01_cr1,Абитуриент 2027,тесты (20%),8571,данных недостаточно для решения
c07_p01_cr1,DS чат,тесты (20%),8571,данных недостаточно для решения
c03_p01_cr1,Хочу в BigTech,тесты (20%),8571,данных недостаточно для решения
c05_p01_cr1,Стажировки РФ,тесты (20%),8571,данных недостаточно для решения
c08_p01_cr1,Бауманка,тесты (20%),8571,данных недостаточно для решения
—,holdout,контроль (10%),30000,не тратим: нужна контрольная группа для ROMI_inc
