student_id,amount,course,ts,date,hour,order_id,n_items_in_order,list_price,price_ratio,discount
437,8950.0,ML про,2026-08-04 09:08:31,2026-08-04,9,24af3ad48236,1,8950.0,1.0,0.0
437,7890.0,Аналитика старт,2026-08-04 09:35:00,2026-08-04,9,5620e9f400b8,1,8950.0,0.8815642458100559,0.11843575418994412
443,8475.0,Линейная алгебра,2026-08-04 10:14:38,2026-08-04,10,cd209f29d81c,2,9950.0,0.8517587939698492,0.14824120603015079
443,8475.0,Мат анализ,2026-08-04 10:14:38,2026-08-04,10,cd209f29d81c,2,9950.0,0.8517587939698492,0.14824120603015079
430,8950.0,К ВУЗу,2026-08-04 13:38:06,2026-08-04,13,5e4a526a09d6,1,6950.0,1.2877697841726619,0.0
480,15695.0,Data Science,2026-08-04 16:17:19,2026-08-04,16,7c4b643abbf1,1,6950.0,1.5,0.0
131,8745.0,Backend старт,2026-08-04 17:05:46,2026-08-04,17,d0e60293ba12,1,8950.0,0.9770949720670391,0.022905027932960897
571,8475.0,ML про,2026-08-04 17:19:52,2026-08-04,17,125a0b0d3417,2,8950.0,0.946927374301676,0.05307262569832405
571,8475.0,ML старт,2026-08-04 17:19:52,2026-08-04,17,125a0b0d3417,2,8950.0,0.946927374301676,0.05307262569832405
159,8475.0,Backend про,2026-08-05 12:56:32,2026-08-05,12,c8346485ed94,2,8950.0,0.946927374301676,0.05307262569832405
159,8475.0,Backend старт,2026-08-05 12:56:32,2026-08-05,12,c8346485ed94,2,8950.0,0.946927374301676,0.05307262569832405
126,8745.0,ML старт,2026-08-05 13:22:41,2026-08-05,13,3fec5fe1f6b2,1,8950.0,0.9770949720670391,0.022905027932960897
225,8745.0,АВ тестам,2026-08-05 14:22:34,2026-08-05,14,8e9ac29d3ef6,1,8191.0,1.0676352093761445,0.0
137,8475.0,Backend старт,2026-08-05 15:01:16,2026-08-05,15,7eb9e076b67e,1,8950.0,0.946927374301676,0.05307262569832405
280,8245.0,ML старт,2026-08-05 16:37:02,2026-08-05,16,d3bdfa161d38,1,8950.0,0.9212290502793297,0.07877094972067034
222,7975.0,Backend про,2026-08-05 18:52:56,2026-08-05,18,f10369fa1eee,2,8950.0,0.8910614525139665,0.10893854748603349
222,7975.0,Backend старт,2026-08-05 18:52:56,2026-08-05,18,f10369fa1eee,2,8950.0,0.8910614525139665,0.10893854748603349
291,9950.0,Линейная алгебра,2026-08-06 10:06:16,2026-08-06,10,61bc64763d78,2,9950.0,1.0,0.0
291,9950.0,Мат анализ,2026-08-06 10:06:16,2026-08-06,10,61bc64763d78,2,9950.0,1.0,0.0
295,6950.0,К ВУЗу,2026-08-06 10:14:55,2026-08-06,10,94f0f69dbdb6,1,6950.0,1.0,0.0
294,9950.0,Линейная алгебра,2026-08-06 10:39:31,2026-08-06,10,19afadbe4c08,1,9950.0,1.0,0.0
325,9950.0,Линейная алгебра,2026-08-06 11:41:17,2026-08-06,11,bb1d088df9fc,1,9950.0,1.0,0.0
166,6950.0,К ВУЗу,2026-08-06 12:15:46,2026-08-06,12,ff7246fe629b,1,6950.0,1.0,0.0
477,500.0,Теория вероятностей,2026-08-06 14:52:49,2026-08-06,14,fe498591d26a,1,9950.0,0.05025125628140704,0.949748743718593
579,8245.0,ML старт,2026-08-06 16:20:47,2026-08-06,16,be6cd02e0aef,1,8950.0,0.9212290502793297,0.07877094972067034
334,9950.0,Линейная алгебра,2026-08-07 11:16:14,2026-08-07,11,3675294bd515,2,9950.0,1.0,0.0
334,9950.0,Мат анализ,2026-08-07 11:16:14,2026-08-07,11,3675294bd515,2,9950.0,1.0,0.0
459,9950.0,Мат анализ,2026-08-07 11:31:08,2026-08-07,11,e2be36a8203f,1,9950.0,1.0,0.0
313,9450.0,Мат анализ,2026-08-07 11:58:49,2026-08-07,11,81a07e4918a8,1,9950.0,0.949748743718593,0.05025125628140703
481,8745.0,ML про,2026-08-07 13:09:54,2026-08-07,13,65317579ce85,1,8950.0,0.9770949720670391,0.022905027932960897
249,6950.0,К ВУЗу,2026-08-07 19:38:55,2026-08-07,19,a81e27b3bedf,1,6950.0,1.0,0.0
259,8745.0,ML про,2026-08-08 07:59:01,2026-08-08,7,d4a91056f6bb,1,8950.0,0.9770949720670391,0.022905027932960897
26,6490.0,Backend старт,2026-08-08 09:23:01,2026-08-08,9,c9308325a432,1,8950.0,0.7251396648044692,0.27486033519553077
183,6490.0,Backend старт,2026-08-08 10:08:11,2026-08-08,10,9402c9ee5c74,1,8950.0,0.7251396648044692,0.27486033519553077
47,4995.0,Алгоритмы старт,2026-08-08 12:24:55,2026-08-08,12,18a1380a2556,2,8950.0,0.5581005586592179,0.4418994413407821
47,4995.0,ML старт,2026-08-08 12:24:55,2026-08-08,12,18a1380a2556,2,8950.0,0.5581005586592179,0.4418994413407821
518,6490.0,Алгоритмы старт,2026-08-08 12:37:37,2026-08-08,12,033cb0a4fdfc,1,8950.0,0.7251396648044692,0.27486033519553077
54,6490.0,Алгоритмы старт,2026-08-08 12:39:51,2026-08-08,12,0385231ffba4,1,8950.0,0.7251396648044692,0.27486033519553077
554,5000.0,ML старт,2026-08-08 12:44:01,2026-08-08,12,13c6dd70bceb,2,8950.0,0.5586592178770949,0.44134078212290506
554,5000.0,Алгоритмы старт,2026-08-08 12:44:01,2026-08-08,12,13c6dd70bceb,2,8950.0,0.5586592178770949,0.44134078212290506
473,10000.0,Алгоритмы,2026-08-08 13:57:16,2026-08-08,13,48cf19cd9b2b,1,9950.0,1.0050251256281406,0.0
308,4950.0,Backend старт,2026-08-08 14:05:17,2026-08-08,14,1006ce3304f0,2,8950.0,0.553072625698324,0.44692737430167595
308,4950.0,Алгоритмы старт,2026-08-08 14:05:17,2026-08-08,14,1006ce3304f0,2,8950.0,0.553072625698324,0.44692737430167595
412,4995.0,ML старт,2026-08-08 14:06:52,2026-08-08,14,661a32ecd125,2,8950.0,0.5581005586592179,0.4418994413407821
412,4995.0,Алгоритмы старт,2026-08-08 14:06:52,2026-08-08,14,661a32ecd125,2,8950.0,0.5581005586592179,0.4418994413407821
7,4950.0,Backend старт,2026-08-08 14:07:56,2026-08-08,14,f7402677e25b,1,8950.0,0.553072625698324,0.44692737430167595
370,6490.0,Backend старт,2026-08-08 14:10:35,2026-08-08,14,795f453d0b2a,1,8950.0,0.7251396648044692,0.27486033519553077
532,4995.0,Аналитика старт,2026-08-08 16:22:47,2026-08-08,16,c2cfe8727caa,2,8950.0,0.5581005586592179,0.4418994413407821
532,4995.0,Аналитика про,2026-08-08 16:22:47,2026-08-08,16,c2cfe8727caa,2,8950.0,0.5581005586592179,0.4418994413407821
451,8245.0,Backend про,2026-08-08 16:24:46,2026-08-08,16,8f93eb0e005e,1,8950.0,0.9212290502793297,0.07877094972067034
265,5990.0,ML старт,2026-08-08 16:25:28,2026-08-08,16,8dfc7d749782,1,8950.0,0.6692737430167598,0.3307262569832402
8,4495.0,АВ тестам,2026-08-08 16:25:39,2026-08-08,16,4031e944c1c1,2,8191.0,0.5487730435844219,0.4512269564155781
8,4495.0,Алгоритмы,2026-08-08 16:25:39,2026-08-08,16,4031e944c1c1,2,9950.0,0.45175879396984925,0.5482412060301507
33,4995.0,Backend старт,2026-08-08 16:26:36,2026-08-08,16,88d23c0b723e,2,8950.0,0.5581005586592179,0.4418994413407821
33,4995.0,Алгоритмы старт,2026-08-08 16:26:36,2026-08-08,16,88d23c0b723e,2,8950.0,0.5581005586592179,0.4418994413407821
512,4995.0,Алгоритмы старт,2026-08-08 16:43:12,2026-08-08,16,fe195e59bf3e,1,8950.0,0.5581005586592179,0.4418994413407821
410,6490.0,Backend старт,2026-08-08 16:51:05,2026-08-08,16,409eb16a2f0a,1,8950.0,0.7251396648044692,0.27486033519553077
516,4950.0,Алгоритмы старт,2026-08-08 16:59:49,2026-08-08,16,ef3f1e206781,2,8950.0,0.553072625698324,0.44692737430167595
516,4950.0,Аналитика старт,2026-08-08 16:59:49,2026-08-08,16,ef3f1e206781,2,8950.0,0.553072625698324,0.44692737430167595
511,4950.0,Аналитика старт,2026-08-08 17:29:42,2026-08-08,17,ed615bfc1551,1,8950.0,0.553072625698324,0.44692737430167595
256,5990.0,ML старт,2026-08-08 17:54:37,2026-08-08,17,738399b6019f,1,8950.0,0.6692737430167598,0.3307262569832402
333,6490.0,Аналитика старт,2026-08-08 18:25:13,2026-08-08,18,cb11286aa4a5,1,8950.0,0.7251396648044692,0.27486033519553077
233,6490.0,Аналитика старт,2026-08-08 18:51:08,2026-08-08,18,a726fceced04,1,8950.0,0.7251396648044692,0.27486033519553077
427,4950.0,ML старт,2026-08-08 19:23:46,2026-08-08,19,e9480bcd4270,2,8950.0,0.553072625698324,0.44692737430167595
427,4950.0,Алгоритмы,2026-08-08 19:23:46,2026-08-08,19,e9480bcd4270,2,9950.0,0.49748743718592964,0.5025125628140703
120,6490.0,Аналитика старт,2026-08-08 19:28:26,2026-08-08,19,e2e60cbd1a4c,1,8950.0,0.7251396648044692,0.27486033519553077
469,4950.0,Алгоритмы,2026-08-08 19:45:24,2026-08-08,19,cd246bc486b5,1,9950.0,0.49748743718592964,0.5025125628140703
161,4995.0,Backend старт,2026-08-08 19:49:42,2026-08-08,19,7c18737f58f8,2,8950.0,0.5581005586592179,0.4418994413407821
161,4995.0,Алгоритмы старт,2026-08-08 19:49:42,2026-08-08,19,7c18737f58f8,2,8950.0,0.5581005586592179,0.4418994413407821
320,4995.0,Алгоритмы старт,2026-08-08 19:54:31,2026-08-08,19,b53e3184196d,2,8950.0,0.5581005586592179,0.4418994413407821
320,4995.0,Аналитика старт,2026-08-08 19:54:31,2026-08-08,19,b53e3184196d,2,8950.0,0.5581005586592179,0.4418994413407821
135,4995.0,Алгоритмы старт,2026-08-08 20:00:19,2026-08-08,20,f41134d43d63,2,8950.0,0.5581005586592179,0.4418994413407821
135,4995.0,ML старт,2026-08-08 20:00:19,2026-08-08,20,f41134d43d63,2,8950.0,0.5581005586592179,0.4418994413407821
73,4995.0,Алгоритмы старт,2026-08-08 20:05:40,2026-08-08,20,05f8fdef6e0f,1,8950.0,0.5581005586592179,0.4418994413407821
227,4725.0,ML старт,2026-08-08 20:08:33,2026-08-08,20,503c2118a6fb,2,8950.0,0.5279329608938548,0.4720670391061452
227,4725.0,Алгоритмы старт,2026-08-08 20:08:33,2026-08-08,20,503c2118a6fb,2,8950.0,0.5279329608938548,0.4720670391061452
507,6490.0,ML старт,2026-08-08 20:12:46,2026-08-08,20,d11f0fdc8200,1,8950.0,0.7251396648044692,0.27486033519553077
421,4995.0,Data Engenering,2026-08-08 20:25:37,2026-08-08,20,82d828c918ca,2,6900.0,0.7239130434782609,0.2760869565217391
421,4995.0,Алгоритмы,2026-08-08 20:25:37,2026-08-08,20,82d828c918ca,2,9950.0,0.5020100502512563,0.49798994974874367
401,8245.0,Backend про,2026-08-08 22:16:55,2026-08-08,22,9504b82d507b,1,8950.0,0.9212290502793297,0.07877094972067034
160,4995.0,Аналитика старт,2026-08-09 02:39:44,2026-08-09,2,5b48371aaa5c,1,8950.0,0.5581005586592179,0.4418994413407821
32,6490.0,ML старт,2026-08-09 04:36:11,2026-08-09,4,cff157757526,1,8950.0,0.7251396648044692,0.27486033519553077
415,4995.0,Backend старт,2026-08-09 04:51:42,2026-08-09,4,92c7ab81b816,1,8950.0,0.5581005586592179,0.4418994413407821
167,4950.0,ML старт,2026-08-09 09:07:16,2026-08-09,9,9fe4f6752379,2,8950.0,0.553072625698324,0.44692737430167595
167,4950.0,Алгоритмы старт,2026-08-09 09:07:16,2026-08-09,9,9fe4f6752379,2,8950.0,0.553072625698324,0.44692737430167595
262,6490.0,Backend про,2026-08-09 09:10:55,2026-08-09,9,4c68b568af1a,1,8950.0,0.7251396648044692,0.27486033519553077
570,4995.0,Алгоритмы старт,2026-08-09 09:24:57,2026-08-09,9,ab6159160b47,2,8950.0,0.5581005586592179,0.4418994413407821
570,4995.0,Аналитика старт,2026-08-09 09:24:57,2026-08-09,9,ab6159160b47,2,8950.0,0.5581005586592179,0.4418994413407821
520,6490.0,Аналитика старт,2026-08-09 09:27:27,2026-08-09,9,4ad0ac61bd54,1,8950.0,0.7251396648044692,0.27486033519553077
598,4950.0,Backend старт,2026-08-09 09:43:34,2026-08-09,9,207678bee3c3,2,8950.0,0.553072625698324,0.44692737430167595
598,4950.0,Алгоритмы,2026-08-09 09:43:34,2026-08-09,9,207678bee3c3,2,9950.0,0.49748743718592964,0.5025125628140703
