order_id,student_id,ts,date,hour,n_items,revenue,courses,median_discount,is_repeat
24af3ad48236,437,2026-08-04 09:08:31,2026-08-04,9,1,8950.0,ML про,0.0,False
5620e9f400b8,437,2026-08-04 09:35:00,2026-08-04,9,1,7890.0,Аналитика старт,0.11843575418994412,True
cd209f29d81c,443,2026-08-04 10:14:38,2026-08-04,10,2,16950.0,Линейная алгебра + Мат анализ,0.14824120603015079,False
5e4a526a09d6,430,2026-08-04 13:38:06,2026-08-04,13,1,8950.0,К ВУЗу,0.0,False
7c4b643abbf1,480,2026-08-04 16:17:19,2026-08-04,16,1,15695.0,Data Science,0.0,False
d0e60293ba12,131,2026-08-04 17:05:46,2026-08-04,17,1,8745.0,Backend старт,0.022905027932960897,False
125a0b0d3417,571,2026-08-04 17:19:52,2026-08-04,17,2,16950.0,ML про + ML старт,0.05307262569832405,False
c8346485ed94,159,2026-08-05 12:56:32,2026-08-05,12,2,16950.0,Backend про + Backend старт,0.05307262569832405,False
3fec5fe1f6b2,126,2026-08-05 13:22:41,2026-08-05,13,1,8745.0,ML старт,0.022905027932960897,False
8e9ac29d3ef6,225,2026-08-05 14:22:34,2026-08-05,14,1,8745.0,АВ тестам,0.0,False
7eb9e076b67e,137,2026-08-05 15:01:16,2026-08-05,15,1,8475.0,Backend старт,0.05307262569832405,False
d3bdfa161d38,280,2026-08-05 16:37:02,2026-08-05,16,1,8245.0,ML старт,0.07877094972067034,False
f10369fa1eee,222,2026-08-05 18:52:56,2026-08-05,18,2,15950.0,Backend про + Backend старт,0.10893854748603349,False
61bc64763d78,291,2026-08-06 10:06:16,2026-08-06,10,2,19900.0,Линейная алгебра + Мат анализ,0.0,False
94f0f69dbdb6,295,2026-08-06 10:14:55,2026-08-06,10,1,6950.0,К ВУЗу,0.0,False
19afadbe4c08,294,2026-08-06 10:39:31,2026-08-06,10,1,9950.0,Линейная алгебра,0.0,False
bb1d088df9fc,325,2026-08-06 11:41:17,2026-08-06,11,1,9950.0,Линейная алгебра,0.0,False
ff7246fe629b,166,2026-08-06 12:15:46,2026-08-06,12,1,6950.0,К ВУЗу,0.0,False
fe498591d26a,477,2026-08-06 14:52:49,2026-08-06,14,1,500.0,Теория вероятностей,0.949748743718593,False
be6cd02e0aef,579,2026-08-06 16:20:47,2026-08-06,16,1,8245.0,ML старт,0.07877094972067034,False
3675294bd515,334,2026-08-07 11:16:14,2026-08-07,11,2,19900.0,Линейная алгебра + Мат анализ,0.0,False
e2be36a8203f,459,2026-08-07 11:31:08,2026-08-07,11,1,9950.0,Мат анализ,0.0,False
81a07e4918a8,313,2026-08-07 11:58:49,2026-08-07,11,1,9450.0,Мат анализ,0.05025125628140703,False
65317579ce85,481,2026-08-07 13:09:54,2026-08-07,13,1,8745.0,ML про,0.022905027932960897,False
a81e27b3bedf,249,2026-08-07 19:38:55,2026-08-07,19,1,6950.0,К ВУЗу,0.0,False
d4a91056f6bb,259,2026-08-08 07:59:01,2026-08-08,7,1,8745.0,ML про,0.022905027932960897,False
c9308325a432,26,2026-08-08 09:23:01,2026-08-08,9,1,6490.0,Backend старт,0.27486033519553077,False
9402c9ee5c74,183,2026-08-08 10:08:11,2026-08-08,10,1,6490.0,Backend старт,0.27486033519553077,False
18a1380a2556,47,2026-08-08 12:24:55,2026-08-08,12,2,9990.0,ML старт + Алгоритмы старт,0.4418994413407821,False
